,Aeronautical Engineering,Agricultural and Biosystems Engineering,Agriculture,Chemical Engineering,Civil Engineering,Computer Engineering,Computer Science,Electrical Engineering,Electronics Engineering,Exercise and Sports Science,Food Technology,Industrial Engineering,Information Systems,Information Technology,Materials Engineering,Mathematics,Mechanical Engineering,Metallurgical Engineering,Mining Engineering,Nutrition and Dietetics,Psychology,Radiologic Technology,Speech Language Pathology
Robotics Engineers,0.005987165030092001,-0.07176431268453598,0.0043457187712192535,0.10435061156749725,0.0033338184002786875,0.09955672919750214,0.10887344926595688,0.1777855008840561,0.048405688256025314,-0.22237542271614075,0.2010267972946167,0.39491069316864014,0.33705154061317444,0.21476754546165466,0.14591385424137115,0.08274031430482864,0.07327158749103546,-0.09223479777574539,-0.17931179702281952,-0.0009320583776570857,0.013890205882489681,0.1234574094414711,0.06977174431085587
Computer Network Support Specialists,0.04865894094109535,0.10195944458246231,-0.02544194459915161,0.1299326866865158,0.1796140819787979,0.02366589568555355,-0.03564995899796486,0.338255912065506,0.029592785984277725,0.01448029838502407,0.10682570189237595,0.1718996912240982,0.3940061032772064,0.2719188332557678,0.12696291506290436,0.25156277418136597,0.2701371908187866,0.11391125619411469,0.04625105485320091,0.2288452535867691,0.07054273039102554,0.19387157261371613,0.09687437862157822
Computer Systems Engineers/Architects,0.34186193346977234,0.26747927069664,0.1309743970632553,0.2931498885154724,0.3404267430305481,0.31815919280052185,0.22473812103271484,0.48678067326545715,0.24170053005218506,0.026800477877259254,0.14383433759212494,0.3922097086906433,0.3896629512310028,0.45031511783599854,0.3439556658267975,0.3505970239639282,0.35746967792510986,0.22321395576000214,0.10777200013399124,0.39942821860313416,0.24436020851135254,0.41663292050361633,0.07676541060209274
Information Security Engineers,0.2951931655406952,0.2168489694595337,0.1152210608124733,0.319861501455307,0.34139499068260193,0.3148624002933502,0.2861068844795227,0.4261309504508972,0.2993870675563812,-0.014499233104288578,0.12033237516880035,0.4186948239803314,0.40111038088798523,0.4758390784263611,0.3229527175426483,0.24737778306007385,0.26742035150527954,0.20536090433597565,0.07689788192510605,0.4089353084564209,0.19635748863220215,0.39795395731925964,0.07124015688896179
Data Scientists,0.6044604778289795,0.48829230666160583,0.47462499141693115,0.7435920238494873,0.5902284979820251,0.7019833326339722,0.5842990875244141,0.7595653533935547,0.7112840414047241,0.13846716284751892,0.4135032892227173,0.5274046063423157,0.5669243335723877,0.5607112646102905,0.7994133830070496,0.4911007583141327,0.6762278079986572,0.45007994771003723,0.43764951825141907,0.3748195767402649,0.644528865814209,0.5769845247268677,0.42728325724601746
Medical Records Specialists,0.5895609855651855,0.24091199040412903,0.4880969226360321,0.3486030399799347,0.38957011699676514,0.26176130771636963,0.4257504343986511,0.38753029704093933,0.28410762548446655,0.19273923337459564,-0.05275966227054596,0.5310536026954651,0.08106231689453125,0.06152062490582466,0.5339165925979614,-0.007544115651398897,0.2621229588985443,0.24919845163822174,0.2245667278766632,0.44252488017082214,0.20841273665428162,0.2629074454307556,0.07396693527698517
Electrical And Electronic Engineering Technologists And Technicians,0.2855305075645447,0.22813868522644043,0.6652624011039734,0.3456551730632782,0.3944365680217743,0.17080742120742798,0.1312127709388733,0.308485209941864,0.21311244368553162,0.5893546342849731,0.45250582695007324,0.4896107614040375,0.4137706458568573,0.08489750325679779,0.406595915555954,0.1397385597229004,0.5756750106811523,0.16586074233055115,0.5541139841079712,0.019424794241786003,0.2863096296787262,0.43365350365638733,0.4029722809791565
Software Developers,0.2369828224182129,0.09104736149311066,0.19409936666488647,0.2183186262845993,0.16076910495758057,0.5034493803977966,0.4435420632362366,0.576927900314331,0.4179900586605072,0.04855756834149361,-0.04590410366654396,0.2777237892150879,0.5231338143348694,0.6544495820999146,0.23242808878421783,0.7357907891273499,0.26354214549064636,0.05615082010626793,0.05582514777779579,0.28126242756843567,0.11450739204883575,0.5362551212310791,0.4253993332386017
Blockchain Engineers,0.1334497630596161,-0.032631345093250275,-0.02937805838882923,-0.07809107005596161,-0.07486473768949509,0.20526601374149323,0.18672147393226624,0.11373574286699295,0.053294871002435684,-0.16229882836341858,0.18645185232162476,0.04755890741944313,0.28132885694503784,0.4807908833026886,-0.06207514926791191,0.4211757779121399,0.0898212417960167,-0.14881287515163422,-0.2193690985441208,-0.13643550872802734,0.02177019789814949,0.1976207196712494,0.013245489448308945
Computer Systems Analysts,0.13607081770896912,0.3758927881717682,0.024433745071291924,0.425432950258255,0.37811079621315,0.30396637320518494,0.054724566638469696,0.19305218756198883,0.31258657574653625,0.08020566403865814,0.2949831783771515,0.22377629578113556,0.4667997360229492,0.31065088510513306,0.32619383931159973,0.2389565259218216,0.26915764808654785,0.36396610736846924,0.23646768927574158,0.26357677578926086,0.3730521500110626,0.2810004651546478,0.12646394968032837
